dataset,model,branches,residual_mode,folds,mean_pairwise_distance,max_pairwise_distance,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean,mean_grad_norm,grad_max,grad_min,mean_cosine_branch,mean_cosine_depth,mean_cka_branch,mean_cka_depth
DD,HorizontalRes,B1,identity,5,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.0983071845897939,0.3649709478020668,0.02442279360257089,1.000000011920929,0.6085687266455756,1.0,0.8675804535547893
DD,HorizontalRes,B2,identity,5,0.16867130398750305,0.16867130398750305,6.0,1195.6369140625,1195.6369140625,0.3491990660627683,0.8374579071998596,0.0731778216191257,0.27296137884259225,0.005243970570154488,0.9969171673059464,0.6938519994417827,0.9999725490808486,0.8999005966716342
DD,HorizontalRes,B3,identity,5,0.7655891120433808,0.8202192962169648,12.0,2336.77970199585,2336.77970199585,0.33025083624654344,0.8254422307014465,0.04063594146143822,0.17269197329878808,0.005369918281212449,0.9536601371235317,0.6630017929606967,0.9988738192452324,0.8879954735438029
DD,HorizontalRes,B4,identity,5,1.0394878228505453,1.301630187034607,18.0,3427.4883544921877,3427.4883544921877,0.3264975517988205,0.8244628310203552,0.03583882082365798,0.16227492019534112,0.00456924905302003,0.8991213694214821,0.6779427687327068,0.99539730027318,0.901759680112203
DD,HorizontalRes,B5,identity,5,1.283687332868576,1.838607907295227,24.0,4530.095097351074,4530.095097351074,0.31793778280417123,0.8259726166725159,0.02974660661473701,0.13240017518401145,0.0019314893754199148,0.8412189507484437,0.6314076105753581,0.9655694007873535,0.8910822113355001
DD,HorizontalRes,B6,identity,5,1.3753807854652405,2.076960062980652,30.0,5392.818328094482,5392.818328094482,0.28801405280828474,0.8304783940315247,0.05135786170975711,0.2645708680152893,0.0031992095988243817,0.8120125787125694,0.6100618680318197,0.942195839020941,0.9262833052211338
DD,HorizontalRes,B7,identity,5,1.3661445927052271,1.9770467042922975,36.0,6419.278368377685,6419.278368377685,0.31286562979221344,0.8321654558181762,0.023582792296333033,0.1232926182448864,0.0016779043129645289,0.7644608952561204,0.6371318565474616,0.8449731957243414,0.9106063339445326
DD,HorizontalRes,B8,identity,5,1.4005915237324578,2.1358320474624635,42.0,7311.145019149781,7311.145019149781,0.2986535716181,0.8364490151405335,0.033858635071117214,0.1657695397734642,0.0024264282314106823,0.7613523310050369,0.6327857719527351,0.9073283012025058,0.8621398793326484
DD,MatrixRes,B1,identity,5,0.0,0.0,2.0,320.3859161376953,320.3859161376953,0.41790547768274944,0.8098581671714783,0.07060994294265079,0.29482866525650026,0.0028438530396670105,1.000000011920929,0.8076820956336127,1.0,0.9153093841340807
DD,MatrixRes,B2,identity,5,0.1833617717027664,0.1833617717027664,14.0,2835.481275177002,2835.481275177002,0.5384378847148683,0.8222326636314392,0.07955059487372637,0.2994420170783997,0.00934249274432659,0.9991424262523652,0.9045827468236287,0.9999829202890396,0.9503056115574307
DD,MatrixRes,B3,identity,5,1.2972825050354004,1.5772711515426636,26.0,5591.864570617676,5591.864570617676,0.5332450506863771,0.8180327892303467,0.08831913810045947,0.39250550866127015,0.005876182764768601,0.9874824563662211,0.9078240487310621,0.9988806207974752,0.9242214931382073
DD,MatrixRes,B4,identity,5,1.6570584058761597,2.2682780742645265,38.0,7600.482134246826,7600.482134246826,0.5002790063122908,0.8184911608695984,0.03938655675094062,0.19253313839435576,0.0036115840026468503,0.9669173419475555,0.9101400229665968,0.9896801240742207,0.9239667455355327
DD,MatrixRes,B5,identity,5,1.9004601228237152,2.7361835479736327,50.0,9450.21314163208,9450.21314163208,0.4731885780758328,0.8204475164413452,0.046981620586082115,0.21969590783119203,0.0036098654149100185,0.9449609870910645,0.9044787658585443,0.9898527770042419,0.9209117650985718
DD,MatrixRes,B6,identity,5,2.058596404393514,3.0995521545410156,62.0,12153.259770965577,12153.259770965577,0.4657612862686316,0.8166438579559326,0.042195488294013414,0.19798651859164237,0.0028259775834158065,0.9221169432004293,0.9007442805502149,0.9767177270518409,0.9327600730790032
DD,MatrixRes,B7,identity,5,2.0752382636070252,3.1400062084197997,74.0,14416.381929016114,14416.381929016114,0.4717124912190059,0.8188417911529541,0.05600676384495778,0.2769821539521217,0.002947685704566538,0.9234323922468691,0.9107484009530808,0.9799755213211994,0.9310570319493612
DD,MatrixRes,B8,identity,5,2.3277827122381756,4.0722638130187985,86.0,16888.798811340333,16888.798811340333,0.48436313151485394,0.817192792892456,0.037018625371788134,0.2029203623533249,0.0016107043833471836,0.9129395557567477,0.9077057811948989,0.9670119823887944,0.9192680252922906
DD,MatrixResGated,B1,sparse,5,0.0,0.0,2.0,324.9804290771484,215.84308090209962,0.23524472018082937,0.8221421241760254,0.08212792733942884,0.36371572986245154,0.0013317852513864636,0.9999999761581421,0.7560381796624925,1.0000000476837159,0.9327776816156176
DD,MatrixResGated,B2,sparse,5,0.2673665702342987,0.2673665702342987,14.0,2510.544500732422,1801.576016998291,0.3037018100420634,0.8360296368598938,0.07786562106960143,0.29251602590084075,0.008467045251745731,0.9954126477241516,0.8713207218382094,0.9999296307563782,0.9201677918434144
DD,MatrixResGated,B3,sparse,5,0.8060424248377482,0.8587848782539368,26.0,4964.089791870118,3701.4763023376463,0.288705696993404,0.8269254803657532,0.06373141334791269,0.27081785127520563,0.005089220264926553,0.973221488793691,0.8545180983013577,0.9967425094710456,0.9195318195554946
DD,MatrixResGated,B4,sparse,5,1.2146990239620208,1.6004673480987548,38.0,7311.171363830566,5390.137620544434,0.3086746933062871,0.8236057162284851,0.03818444027091135,0.16380057483911514,0.004403609980363399,0.9423899464309216,0.865150801340739,0.9854849256575108,0.9272227181328667
DD,MatrixResGated,B5,sparse,5,1.302857344150543,1.9660003185272217,50.0,8753.768853759766,6419.1813480377195,0.2628526411255201,0.8327633380889893,0.05089668983198476,0.24327071756124496,0.0035077213775366544,0.9198966579437255,0.8452623592482673,0.9567903943061828,0.8933567722638448
DD,MatrixResGated,B6,sparse,5,1.2735784101486205,1.947263765335083,62.0,10355.999449157714,7555.576705551148,0.2441620474115566,0.8343466520309448,0.02809373880132066,0.13467066511511802,0.0015272491582436487,0.9007676846451229,0.8576547596189711,0.9551479617754618,0.9153565075662401
DD,MatrixResGated,B7,sparse,5,1.5310887126695543,2.3983821868896484,74.0,13545.525779724121,9977.540830612183,0.2792136427949345,0.8335509061813354,0.04017395174674069,0.20287544056773185,0.0021197670255787672,0.899726135876714,0.8748403906822205,0.9454172492027283,0.9113013492690192
DD,MatrixResGated,B8,sparse,5,1.5389008858374187,2.581868076324463,86.0,15247.195906066894,11301.19868850708,0.25529244559092656,0.8279232978820801,0.029285652079624032,0.1533728763461113,0.00154542131931521,0.8664382476359606,0.8728143016497294,0.9209952600300312,0.9076470189624363
DD,Plain,B3,identity,5,1.0111652195453644,1.2377249956130982,0.0,0.0,0.0,0.0,0.800000011920929,0.03450703898794018,0.15135464444756508,0.003803867963142693,0.6918924265437656,0.6009023096826341,0.8481464147567749,0.8289619210693572
DD,VerticalRes,B3,identity,5,1.4404958566029866,1.6633291006088258,6.0,865.8634643554688,865.8634643554688,0.31231307023101385,0.8296213626861573,0.03281832534287657,0.15031178891658784,0.002084729168564081,0.6972301178508334,0.7690179559919569,0.8398478541109298,0.8898768226305643
ENZYMES,HorizontalRes,B3,identity,5,0.8676925440629323,1.0179259717464446,16.0,856.9114566802979,856.9114566802979,0.2651820708066225,0.800061297416687,0.05744275981042948,0.22040632963180543,0.008727580355480314,0.92948786550098,0.5001753300428391,0.9745714995596144,0.9084579788148404
ENZYMES,MatrixRes,B3,identity,5,1.7714066982269288,2.070440721511841,37.0,2698.3126369476317,2698.3126369476317,0.40480494336121614,0.7896440505981446,0.08390462688532555,0.4691994279623032,0.005458244564943015,0.9832214077313741,0.879136822372675,0.9982705858018663,0.9441386729478836
ENZYMES,MatrixResGated,B3,sparse,5,1.16316769917806,1.2657858610153199,37.0,2279.6340934753416,1911.7944610595703,0.267979245028562,0.7972088575363159,0.08037220835340796,0.3999362289905548,0.007077006343752146,0.9794266978899637,0.829386331886053,0.9987094004948934,0.9211963012814521
ENZYMES,Plain,B3,identity,5,1.8124782582124075,2.1469035506248475,0.0,0.0,0.0,0.0,0.800000011920929,0.02940493821918678,0.11411085687577724,0.005183247593231499,0.5492803436186579,0.4661107188090682,0.7009224663178126,0.906032769382
ENZYMES,VerticalRes,B3,identity,5,1.6383920272191366,1.8322942972183227,9.0,471.82943534851074,471.82943534851074,0.35588070129354793,0.790300476551056,0.027119893482368852,0.13344256803393365,0.00416099252179265,0.7163283149401347,0.7655848421156406,0.7887879755761888,0.9327600002288818
PROTEINS,HorizontalRes,B1,identity,5,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.036132278311997654,0.0843626007437706,0.010343376360833646,0.9999999165534973,0.46670015528798103,1.0000000476837159,0.7277303981594742
PROTEINS,HorizontalRes,B2,identity,5,0.22108237445354462,0.22108237445354462,8.0,570.4744834899902,570.4744834899902,0.2974074147641659,0.7906056404113769,0.030872552439962564,0.07839155569672585,0.005264823511242867,0.9942907810211181,0.5151041250675916,0.9996900737285614,0.7168447017669678
PROTEINS,HorizontalRes,B3,identity,5,0.8208951532840728,0.9836240172386169,16.0,1055.4397113800048,1055.4397113800048,0.24181309826672076,0.7878086805343628,0.024459060151302427,0.061192721128463745,0.004837391222827137,0.9208145088619656,0.47413965985178946,0.9923228806919522,0.7084382960572839
PROTEINS,HorizontalRes,B4,identity,5,1.1449713011582692,1.5662907600402831,24.0,1649.6109470367433,1649.6109470367433,0.2519035164732486,0.7910891532897949,0.01567342994535076,0.03805828895419836,0.002467349194921553,0.8416594460606575,0.4678299769759178,0.9796595424413681,0.7125399902462959
PROTEINS,HorizontalRes,B5,identity,5,1.2127617466449738,1.8387112855911254,32.0,2153.466958618164,2153.466958618164,0.24873512983322144,0.7875739693641662,0.014631478576365924,0.05636858716607094,0.0019452243665000423,0.8104998779296875,0.47672019209712746,0.8859150426387787,0.7754551902413368
PROTEINS,HorizontalRes,B6,identity,5,1.413070768515269,1.9736337900161742,40.0,2770.375172805786,2770.375172805786,0.2696744056728979,0.7896033644676208,0.014770947542160238,0.05046326406300068,0.0017240650136955082,0.765344825718138,0.4696908574551344,0.9264728870656755,0.7532567186281085
PROTEINS,HorizontalRes,B7,identity,5,1.460927691346123,2.3072935581207275,48.0,3118.9812433242796,3118.9812433242796,0.254463837588472,0.7878407955169677,0.010772945499639579,0.04614192992448807,0.0012563217198476196,0.7447408861043502,0.47382472567260264,0.9482468875087038,0.7660900924354792
PROTEINS,HorizontalRes,B8,identity,5,1.544142125759806,2.4944131851196287,56.0,3716.6077580451965,3716.6077580451965,0.26340130385942756,0.7895290374755859,0.012933532422588297,0.06461419053375721,0.0013819379222695717,0.7450327176600695,0.48637027442455294,0.9299060416407883,0.7560641286894679
PROTEINS,MatrixRes,B1,identity,5,0.0,0.0,3.0,316.96246032714845,316.96246032714845,0.4684074595570564,0.7945444464683533,0.04683034572517499,0.12347623407840728,0.005330458155367523,1.0000000476837159,0.7944512903690338,1.0,0.8286934200674295
PROTEINS,MatrixRes,B2,identity,5,0.3104450821876526,0.3104450821876526,20.0,2263.932730102539,2263.932730102539,0.4721541511515776,0.7836035251617431,0.04573677704228382,0.15718729496002198,0.003449233458377421,0.9988265186548233,0.9222043126821518,0.9997591286897659,0.9337077476084232
PROTEINS,MatrixRes,B3,identity,5,2.167778174082438,2.5443231105804442,37.0,4778.404369354248,4778.404369354248,0.4412653850515683,0.777256715297699,0.02942747534080236,0.19036276116967202,0.001949393656104803,0.9874380628267924,0.9180424146354198,0.9989992790751987,0.9489344686269761
PROTEINS,MatrixRes,B4,identity,5,3.1769493420918784,4.333948183059692,54.0,6633.694750976562,6633.694750976562,0.43846111447860797,0.7789781332015991,0.02730411703565291,0.1857953190803528,0.0020035235211253166,0.9675152964890004,0.9194396309554577,0.986292441189289,0.9617766305804253
PROTEINS,MatrixRes,B5,identity,5,3.415772504806519,4.756882190704346,71.0,8131.338126182556,8131.338126182556,0.42381561436255777,0.7777154088020325,0.021387915333548866,0.18602585047483444,0.0012793374597094953,0.9385582160949707,0.9208120025694371,0.9848319501876831,0.9434691362082959
PROTEINS,MatrixRes,B6,identity,5,3.775478466351827,5.842591953277588,88.0,10028.856185150147,10028.856185150147,0.42732035691539444,0.7757362604141236,0.01820858856754414,0.17956602573394775,0.0008268370409496128,0.9173466258578831,0.9053382202982903,0.9634424411588245,0.9070505067706108
